"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"    Occupied housing units","572,012","±3,657","572,012","(X)","3,305,589","±8,089","3,305,589","(X)","77,713","±1,471","77,713","(X)","1,032,218","±5,228","1,032,218","(X)","715,040","±4,938","715,040","(X)","1,110,568","±6,697","1,110,568","(X)","142,449","±2,099","142,449","(X)","96,257","±1,860","96,257","(X)","73,055","±1,314","73,055","(X)"
"        Moved in 2015 or later","100,357","±4,129","17.5%","±0.7","548,528","±11,981","16.6%","±0.4","16,306","±2,167","21.0%","±2.8","198,442","±5,557","19.2%","±0.6","137,418","±4,959","19.2%","±0.7","242,463","±7,379","21.8%","±0.6","27,510","±2,442","19.3%","±1.7","15,965","±2,116","16.6%","±2.1","18,447","±2,038","25.3%","±2.7"
"        Moved in 2010 to 2014","184,165","±5,249","32.2%","±0.9","1,031,948","±12,122","31.2%","±0.4","25,951","±2,245","33.4%","±2.8","303,572","±8,580","29.4%","±0.8","239,163","±6,483","33.4%","±0.9","354,439","±8,510","31.9%","±0.8","43,700","±2,663","30.7%","±1.7","24,053","±2,472","25.0%","±2.5","21,821","±1,646","29.9%","±2.2"
"        Moved in 2000 to 2009","144,779","±5,171","25.3%","±0.9","820,722","±12,433","24.8%","±0.4","20,010","±2,070","25.7%","±2.6","251,415","±6,373","24.4%","±0.6","206,298","±5,672","28.9%","±0.8","257,952","±7,214","23.2%","±0.6","32,555","±2,430","22.9%","±1.7","25,502","±2,127","26.5%","±2.2","17,342","±1,734","23.7%","±2.4"
"        Moved in 1990 to 1999","69,634","±3,197","12.2%","±0.6","465,210","±9,023","14.1%","±0.3","8,170","±1,169","10.5%","±1.5","149,322","±5,047","14.5%","±0.5","78,767","±4,324","11.0%","±0.6","131,701","±5,394","11.9%","±0.5","17,853","±1,986","12.5%","±1.4","15,338","±1,699","15.9%","±1.8","8,544","±1,076","11.7%","±1.5"
"        Moved in 1980 to 1989","35,416","±2,577","6.2%","±0.5","215,643","±5,850","6.5%","±0.2","3,654","±719","4.7%","±0.9","65,458","±3,859","6.3%","±0.4","34,455","±2,559","4.8%","±0.4","65,001","±3,444","5.9%","±0.3","9,884","±1,307","6.9%","±0.9","8,232","±1,251","8.6%","±1.3","3,631","±744","5.0%","±1.0"
"        Moved in 1979 and earlier","37,661","±2,263","6.6%","±0.4","223,538","±5,017","6.8%","±0.2","3,622","±818","4.7%","±1.1","64,009","±3,008","6.2%","±0.3","18,939","±2,185","2.6%","±0.3","59,012","±2,950","5.3%","±0.3","10,947","±1,308","7.7%","±0.9","7,167","±1,053","7.4%","±1.1","3,270","±569","4.5%","±0.8"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","572,012","±3,657","572,012","(X)","3,305,589","±8,089","3,305,589","(X)","77,713","±1,471","77,713","(X)","1,032,218","±5,228","1,032,218","(X)","715,040","±4,938","715,040","(X)","1,110,568","±6,697","1,110,568","(X)","142,449","±2,099","142,449","(X)","96,257","±1,860","96,257","(X)","73,055","±1,314","73,055","(X)"
"        No vehicles available","59,435","±3,687","10.4%","±0.6","299,209","±7,474","9.1%","±0.2","5,840","±1,223","7.5%","±1.6","42,607","±3,355","4.1%","±0.3","29,356","±2,556","4.1%","±0.4","58,543","±3,340","5.3%","±0.3","7,179","±1,217","5.0%","±0.8","5,747","±1,349","6.0%","±1.4","6,514","±1,111","8.9%","±1.5"
