"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"        5 or more bedrooms","27,193","±2,231","4.5%","±0.4","116,521","±5,680","3.3%","±0.2","2,494","±831","2.9%","±1.0","60,144","±3,739","5.5%","±0.3","62,965","±4,150","7.5%","±0.5","57,703","±4,278","4.8%","±0.4","5,497","±1,336","3.5%","±0.9","1,696","±573","2.2%","±0.7","3,607","±973","4.6%","±1.2"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","573,589","±3,461","573,589","(X)","3,311,231","±8,549","3,311,231","(X)","80,969","±1,208","80,969","(X)","1,037,312","±5,286","1,037,312","(X)","718,733","±5,454","718,733","(X)","1,126,419","±6,245","1,126,419","(X)","147,466","±1,981","147,466","(X)","71,968","±1,295","71,968","(X)","73,495","±1,504","73,495","(X)"
"        Owner-occupied","305,888","±5,264","53.3%","±0.9","1,510,464","±12,699","45.6%","±0.4","39,490","±2,160","48.8%","±2.5","595,020","±7,820","57.4%","±0.7","476,441","±7,720","66.3%","±0.9","602,549","±7,690","53.5%","±0.7","75,419","±2,718","51.1%","±1.7","46,439","±1,935","64.5%","±2.3","36,886","±1,824","50.2%","±2.2"
"        Renter-occupied","267,701","±5,408","46.7%","±0.9","1,800,767","±15,145","54.4%","±0.4","41,479","±2,137","51.2%","±2.5","442,292","±7,086","42.6%","±0.7","242,292","±6,808","33.7%","±0.9","523,870","±9,638","46.5%","±0.7","72,047","±2,710","48.9%","±1.7","25,529","±1,668","35.5%","±2.3","36,609","±1,784","49.8%","±2.2"
"    Average household size of owner-occupied unit","2.97","±0.04","(X)","(X)","3.21","±0.02","(X)","(X)","3.08","±0.12","(X)","(X)","3.00","±0.03","(X)","(X)","3.32","±0.03","(X)","(X)","2.93","±0.03","(X)","(X)","2.77","±0.09","(X)","(X)","2.42","±0.08","(X)","(X)","2.67","±0.10","(X)","(X)"
"    Average household size of renter-occupied unit","2.69","±0.05","(X)","(X)","2.86","±0.02","(X)","(X)","3.52","±0.13","(X)","(X)","3.09","±0.04","(X)","(X)","3.32","±0.07","(X)","(X)","2.83","±0.04","(X)","(X)","3.04","±0.09","(X)","(X)","2.52","±0.15","(X)","(X)","3.07","±0.13","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","573,589","±3,461","573,589","(X)","3,311,231","±8,549","3,311,231","(X)","80,969","±1,208","80,969","(X)","1,037,312","±5,286","1,037,312","(X)","718,733","±5,454","718,733","(X)","1,126,419","±6,245","1,126,419","(X)","147,466","±1,981","147,466","(X)","71,968","±1,295","71,968","(X)","73,495","±1,504","73,495","(X)"
"        Moved in 2015 or later","156,098","±4,977","27.2%","±0.8","815,713","±12,987","24.6%","±0.4","23,624","±2,162","29.2%","±2.6","281,338","±7,517","27.1%","±0.7","199,347","±6,432","27.7%","±0.8","371,625","±9,615","33.0%","±0.8","44,931","±2,785","30.5%","±1.8","22,690","±1,827","31.5%","±2.4","22,252","±2,219","30.3%","±2.9"
"        Moved in 2010 to 2014","148,380","±5,226","25.9%","±0.9","848,559","±12,894","25.6%","±0.4","21,679","±2,119","26.8%","±2.6","248,658","±6,905","24.0%","±0.7","202,594","±6,697","28.2%","±0.9","275,277","±8,007","24.4%","±0.7","35,555","±2,606","24.1%","±1.7","15,221","±1,937","21.1%","±2.7","19,452","±2,147","26.5%","±2.9"
"        Moved in 2000 to 2009","132,094","±4,491","23.0%","±0.8","769,900","±11,367","23.3%","±0.3","19,147","±1,710","23.6%","±2.1","241,472","±7,366","23.3%","±0.7","199,878","±5,968","27.8%","±0.8","238,298","±7,881","21.2%","±0.7","31,567","±2,101","21.4%","±1.4","17,140","±1,629","23.8%","±2.2","15,786","±1,633","21.5%","±2.1"
"        Moved in 1990 to 1999","64,891","±3,231","11.3%","±0.6","443,763","±8,421","13.4%","±0.3","8,343","±1,238","10.3%","±1.5","136,584","±5,914","13.2%","±0.6","69,510","±3,586","9.7%","±0.5","121,773","±4,833","10.8%","±0.4","15,371","±1,670","10.4%","±1.1","8,360","±1,083","11.6%","±1.5","8,231","±1,249","11.2%","±1.7"
"        Moved in 1980 to 1989","35,685","±2,425","6.2%","±0.4","214,838","±5,990","6.5%","±0.2","3,996","±983","4.9%","±1.2","65,269","±3,399","6.3%","±0.3","29,826","±2,663","4.1%","±0.4","61,565","±3,678","5.5%","±0.3","10,916","±1,600","7.4%","±1.1","3,845","±866","5.3%","±1.2","4,061","±816","5.5%","±1.1"
"        Moved in 1979 and earlier","36,441","±2,349","6.4%","±0.4","218,458","±6,747","6.6%","±0.2","4,180","±900","5.2%","±1.1","63,991","±3,232","6.2%","±0.3","17,578","±1,753","2.4%","±0.2","57,881","±3,594","5.1%","±0.3","9,126","±1,290","6.2%","±0.9","4,712","±1,061","6.5%","±1.5","3,713","±894","5.1%","±1.2"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","573,589","±3,461","573,589","(X)","3,311,231","±8,549","3,311,231","(X)","80,969","±1,208","80,969","(X)","1,037,312","±5,286","1,037,312","(X)","718,733","±5,454","718,733","(X)","1,126,419","±6,245","1,126,419","(X)","147,466","±1,981","147,466","(X)","71,968","±1,295","71,968","(X)","73,495","±1,504","73,495","(X)"
"        No vehicles available","51,194","±3,368","8.9%","±0.6","292,518","±6,771","8.8%","±0.2","4,861","±1,085","6.0%","±1.3","45,875","±3,320","4.4%","±0.3","30,783","±2,799","4.3%","±0.4","59,188","±3,815","5.3%","±0.3","7,475","±1,312","5.1%","±0.9","5,943","±1,206","8.3%","±1.7","5,583","±1,285","7.6%","±1.7"
"        1 vehicle available","184,465","±4,989","32.2%","±0.9","1,116,837","±12,316","33.7%","±0.4","25,602","±2,017","31.6%","±2.4","277,892","±8,887","26.8%","±0.9","199,720","±5,990","27.8%","±0.8","333,163","±7,234","29.6%","±0.6","45,147","±2,914","30.6%","±1.9","21,295","±1,841","29.6%","±2.5","22,717","±1,915","30.9%","±2.4"
"        2 vehicles available","205,644","±5,141","35.9%","±0.9","1,162,272","±13,744","35.1%","±0.4","28,026","±2,469","34.6%","±3.0","431,768","±8,243","41.6%","±0.8","270,720","±7,556","37.7%","±1.0","448,586","±8,862","39.8%","±0.7","56,201","±3,158","38.1%","±2.1","26,140","±1,801","36.3%","±2.4","27,551","±1,869","37.5%","±2.5"
